Name,Team(s),Capacity,Opened,Turf,Cost,Stadium_Roof,Fan_Repu,Weather,Location,Division,Conference
Acrisure Stadium,Pittsburgh Steelers,"68,400",07/10/2001,Grass,$281 Million,Open,0,Hard,North,AFC North,AFC
Allegiant Stadium,Las Vegas Raiders,"65,000",,Grass,$1.9 Billion,Closed,0,Low,Middle,AFC West,AFC
Arrowhead Stadium,Kansas City Chiefs,"76,416",12/08/1972,Grass,$43 Million,Open,1,Med,Middle,AFC West,AFC
AT&T Stadium,Dallas Cowboys,"80,000",,FieldTurf,$1.3 Billion,Retractable,0,Low,South,NFC East,NFC
Bank of America Stadium,Carolina Panthers,"74,867",,Grass,$242 Million,Open,0,Med,Middle,NFC South,NFC
Empower Field,Denver Broncos,"76,125",10/09/2001,Grass,$364 Million,Open,1,Hard,Middle,AFC West,AFC
FedEx Field,Washington Commanders,"79,000",,Grass,$250 Million,Open,0,Med,Middle,NFC East,NFC
FirstEnergy Stadium,Cleveland Browns,"67,895",12/09/1999,Grass,$290 Million,Open,0,Hard,North,AFC North,AFC
Ford Field,Detroit Lions,"65,000",,FieldTurf,$430 Million,Closed,0,Low,North,NFC North,NFC
Gillette Stadium,New England Patriots,"65,878",09/09/2002,Fieldturf,$325 Million,Open,1,Hard,North,AFC East,AFC
Hard Rock Stadium,Miami Dolphins,"65,326",,Grass,$115 Million,Open,0,Low,South,AFC East,AFC
Highmark Stadium,Buffalo Bills,"71,608",,FieldTurf,$22 Million,Open,0,Hard,North,AFC East,AFC
Lambeau Field,Green Bay Packers,"81,441",,Grass,"$ 960,000",Open,1,Hard,North,NFC North,NFC
Levi’s Stadium,San Francisco 49ers,"68,500",,Grass,$1.3 Billion,Open,0,Med,Middle,NFC West,NFC
Lincoln Financial Field,Philadelphia Eagles,"67,594",08/09/2003,Grass,$518 Million,Open,1,Hard,North,NFC East,NFC
Lucas Oil Stadium,Indianapolis Colts,"67,000",07/09/2008,Fieldturf,$720 Million,Retractable,0,Low,Middle,AFC South,AFC
Lumen Field,Seattle Seahawks,"68,740",,FieldTurf,$360 Million,Open,1,Hard,North,NFC West,NFC
M&T Bank Stadium,Baltimore Ravens,"71,008",06/09/1998,Fieldturf,$220 Million,Open,0,Med,Middle,AFC North,AFC
Mercedes Benz Stadium,Atlanta Falcons,"71,000",,Fieldturf,$1.5 Billion,Retractable,1,Low,Middle,NFC South,NFC
MetLife Stadium,New York Giants,"82,500",12/09/2010,FieldTurf,$1.6 Billion,Open,0,Hard,North,NFC East,NFC
Nissan Stadium,Tennessee Titans,"69,143",12/09/1999,Grass,$290 Million,Open,0,Med,Middle,AFC South,AFC
NRG Stadium,Houston Texans,"71,795",08/09/2002,Grass,$449 Million,Retractable,0,Low,South,AFC South,AFC
Paycor Stadium,Cincinnati Bengals,"65,515",10/09/2000,Fieldturf,$450 Million,Open,0,Med,Middle,AFC North,AFC
Raymond James Stadium,Tampa Bay Buccaneers,"65,890",,Grass,$194 Million,Open,0,Low,South,NFC South,NFC
SoFi Stadium,Los Angeles Rams,"70,000",,FieldTurf,$4.9 Billion,Closed,0,Low,South,NFC West,NFC
Soldier Field,Chicago Bears,"61,500",,Grass,$600 Million,Open,1,Hard,North,NFC North,NFC
Superdome,New Orleans Saints,"74,295",,FieldTurf,$134 Million,Closed,1,Low,South,NFC South,NFC
TIAA Bank Field,Jacksonville Jaguars,"67,264",,Grass,$134 Million,Open,0,Low,South,AFC South,AFC
University of Phoenix Stadium,Arizona Cardinals,"63,400",10/09/2006,Grass,$455 Million,Retractable,0,Low,South,NFC West,NFC
US Bank Stadium,Minnesota Vikings,"66,200",,Fieldturf,$1.1 Billion,Closed,1,Low,North,NFC North,NFC
MetLife Stadium,New York Jets,"82,500",12/09/2010,FieldTurf,$1.6 Billion,Open,0,Hard,North,AFC East,AFC
SoFi Stadium,Los Angeles Chargers,"70,000",,FieldTurf,$4.9 Billion,Closed,0,Low,South,AFC West,AFC